Country,Child_early_and_forced_marriage,Domestic_violence,Female_genital_mutilation,Female_genital_mutilation.1,Femicide_Feminicide,Forced_pregnancy,Forced_sterilization,Form_Of_Violence,Other_harmful_practices,Sexual_harassment,Sexual_violence,Stalking,Technology-facilitated_violence_against_women,Trafficking,Violence_against_women_and_girls,tot_violence,ISO
Albania,0,20,0,0,0,0,0,0,0,6,3,0,0,7,12,48,ALB
Argentina,0,14,0,0,2,0,0,0,0,2,6,0,0,14,46,84,ARG
Australia,1,73,2,0,1,0,0,0,0,15,22,0,0,19,30,163,AUS
Austria,3,20,6,0,0,0,0,0,0,1,8,0,3,10,11,62,AUT
Bahrain,0,13,0,0,0,0,0,0,0,1,0,0,0,3,7,24,BHR
Belgium,2,55,11,0,0,0,0,0,0,4,11,0,0,12,24,119,BEL
Bulgaria,2,18,0,0,0,0,0,0,0,0,2,0,0,6,16,44,BGR
Burkina Faso,6,2,19,0,0,0,0,0,3,2,0,0,0,1,38,71,BFA
Canada,1,96,0,0,0,0,0,0,1,4,18,2,0,5,45,172,CAN
Chile,0,33,0,0,2,0,0,0,0,3,3,0,0,8,30,79,CHL
Colombia,0,21,5,1,1,0,0,0,0,0,9,0,0,6,42,85,COL
Costa Rica,0,20,0,0,1,0,0,0,0,2,1,0,0,2,15,41,CRI
Croatia,0,25,0,0,2,0,0,0,0,1,1,0,0,7,19,55,HRV
Cyprus,0,22,1,0,0,0,0,0,0,2,3,0,0,9,15,52,CYP
Czechia,0,19,0,0,0,0,0,0,0,2,0,1,0,2,10,34,CZE
Côte d’Ivoire,2,1,4,0,0,0,0,0,0,1,7,0,0,0,11,26,CIV
Denmark,1,28,1,0,0,0,0,0,2,0,6,1,0,8,8,55,DNK
Ecuador,0,29,0,0,2,0,0,0,0,0,10,0,0,6,24,71,ECU
Estonia,0,19,0,0,0,0,0,0,0,1,2,0,0,15,12,49,EST
Finland,2,20,1,0,0,0,0,0,0,2,4,0,0,8,14,51,FIN
France,1,33,9,0,0,0,0,0,0,17,5,0,0,5,44,114,FRA
Gabon,2,0,1,0,0,0,0,0,0,0,0,0,0,3,13,19,GAB
Georgia,1,22,2,0,1,0,0,0,0,2,2,0,0,11,17,58,GEO
Germany,3,19,5,0,0,0,0,0,1,1,7,2,0,11,30,79,DEU
Ghana,1,7,2,0,0,0,0,0,0,0,1,0,0,0,5,16,GHA
Greece,0,9,0,0,0,0,0,0,0,2,1,0,0,16,5,33,GRC
Guinea,1,0,3,0,0,0,0,0,0,0,1,0,0,2,6,13,GIN
Hungary,0,17,0,0,0,0,0,0,0,0,0,0,0,3,10,30,HUN
Iceland,0,19,0,0,0,0,0,0,0,7,12,0,0,4,19,61,ISL
India,2,14,0,0,0,0,0,0,7,4,6,0,0,28,43,104,IND
Ireland,0,23,2,0,0,0,0,0,0,5,10,2,0,5,16,63,IRL
Israel,0,18,3,0,0,0,0,0,0,6,5,1,1,7,5,46,ISR
Italy,0,8,1,0,0,0,0,0,0,0,5,1,0,1,8,24,ITA
Jordan,1,4,0,0,0,0,0,0,0,2,0,0,0,3,19,29,JOR
Kazakhstan,0,10,0,0,0,0,0,0,0,0,3,0,0,5,17,35,KAZ
Kyrgyzstan,5,19,0,0,0,0,0,0,0,0,0,0,0,7,23,54,KGZ
Lao People's Democratic Republic,1,2,0,0,0,0,0,0,0,0,3,0,0,9,10,25,LAO
Latvia,0,12,1,0,0,0,0,0,0,1,4,0,0,8,15,41,LVA
Lithuania,1,20,0,0,0,0,0,0,0,0,1,0,0,2,11,35,LTU
Malaysia,0,4,0,0,0,0,0,0,0,0,3,0,0,10,8,25,MYS
Malta,0,19,0,0,0,0,0,0,0,4,0,0,0,0,5,28,MLT
Mauritius,0,26,0,0,0,0,0,0,0,2,1,0,0,4,8,41,MUS
Mexico,0,16,0,0,5,0,0,0,0,3,0,0,0,1,32,57,MEX
Mongolia,0,5,0,0,0,0,0,0,0,1,1,0,0,6,10,23,MNG
Montenegro,0,11,1,0,0,0,0,0,0,0,1,0,0,4,13,30,MNE
Morocco,2,1,0,0,0,0,0,0,0,2,0,0,0,4,36,45,MAR
Nepal,0,8,0,0,0,1,0,0,0,1,2,0,0,10,17,39,NPL
New Zealand,0,28,1,0,0,0,0,0,0,0,5,0,0,1,11,46,NZL
North Macedonia,0,27,0,0,0,0,0,0,0,1,1,0,0,14,7,50,MKD
Norway,8,19,8,0,1,0,0,1,0,1,1,0,0,6,14,59,NOR
Pakistan,2,9,0,0,0,0,0,0,2,4,1,0,0,2,15,35,PAK
Philippines,0,13,0,0,0,0,0,0,0,2,2,0,0,8,13,38,PHL
Poland,0,17,0,0,0,0,0,0,0,0,0,0,0,4,2,23,POL
Portugal,2,19,9,0,0,0,0,0,0,0,0,0,0,16,16,62,PRT
Republic of Moldova,0,20,0,0,0,0,0,0,0,0,1,0,0,9,7,37,MDA
Romania,0,20,0,0,0,0,0,0,0,1,1,0,0,2,7,31,ROU
Russian Federation,0,7,0,0,0,0,0,0,0,0,2,0,0,4,8,21,RUS
Saudi Arabia,0,4,0,0,0,0,0,0,0,1,0,0,0,4,7,16,SAU
Senegal,0,0,4,0,0,0,0,0,0,0,1,0,0,4,11,20,SEN
Serbia,1,12,0,0,0,0,0,0,0,2,2,0,0,7,15,39,SRB
Slovakia,0,14,0,0,0,0,0,0,0,1,0,0,0,5,7,27,SVK
Slovenia,2,28,0,0,0,0,0,0,0,6,2,0,1,5,19,63,SVN
South Africa,0,4,1,0,1,0,0,0,0,1,2,0,0,1,10,20,ZAF
Spain,0,25,6,0,0,1,0,0,0,1,1,0,0,6,20,60,ESP
Sweden,2,18,2,0,0,0,0,0,2,3,8,0,0,4,12,51,SWE
Switzerland,1,26,2,0,1,0,0,0,0,1,0,0,0,1,11,43,CHE
Thailand,0,18,0,0,0,0,0,0,0,3,0,0,0,7,5,33,THA
United Kingdom of Great Britain and Northern Ireland,5,49,6,0,0,0,0,0,2,3,14,1,0,4,7,91,GBR
United Republic of Tanzania,2,3,1,0,0,0,0,0,0,0,0,0,0,2,18,26,TZA
United States of America,0,7,3,0,0,0,0,0,0,0,9,0,0,9,11,39,USA
Uzbekistan,1,4,0,0,0,0,0,0,0,1,0,0,0,1,2,9,UZB
