Country,Year,Primary,Primary and Secondary,Secondary,Tertiary,ISO
Albania,2019,1.03,1.019,1.011,1.32,ALB
Argentina,2019,1.002,1.021,1.04,1.416,ARG
Armenia,2019,1.005,1.035,1.053,1.177,ARM
Australia,2019,0.999,0.964,0.934,1.28,AUS
Austria,2019,0.993,0.981,0.975,1.185,AUT
Azerbaijan,2019,1.031,1.011,0.998,1.147,AZE
Bahrain,2019,0.994,1.038,1.089,1.47,BHR
Belarus,2019,0.996,0.992,0.99,1.11,BLR
Belgium,2019,1.011,1.079,1.128,1.253,BEL
Belize,2019,0.967,0.989,1.019,1.418,BLZ
Brazil,2019,0.969,1.01,1.04,1.271,BRA
Brunei Darussalam,2019,1.008,1.021,1.034,1.355,BRN
Bulgaria,2019,0.993,0.985,0.982,1.192,BGR
Burkina Faso,2019,0.995,1.007,1.033,0.555,BFA
Burundi,2019,1.015,1.043,1.152,0.64,BDI
Canada,2019,0.994,1.002,1.008,1.265,CAN
Chile,2019,0.972,0.982,0.992,1.144,CHL
Colombia,2019,0.967,1.011,1.051,1.126,COL
Costa Rica,2019,1.007,1.041,1.076,1.186,CRI
Cote d'Ivoire,2019,0.941,0.884,0.793,0.765,CIV
Croatia,2019,1.007,1.039,1.055,1.275,HRV
Cuba,2019,0.966,0.988,1.011,1.398,CUB
Cyprus,2019,0.993,0.981,0.969,1.059,CYP
Czechia,2019,1.005,1.008,1.01,1.283,CZE
Denmark,2019,0.998,0.996,0.991,1.272,DNK
Ecuador,2019,1.021,1.024,1.027,1.14,ECU
Estonia,2019,1.008,1.022,1.036,1.327,EST
Finland,2019,0.995,1.052,1.096,1.172,FIN
France,2019,0.995,0.999,1.001,1.204,FRA
Gabon,2019,0.967,1.016,1.079,1.201,GAB
Georgia,2019,1.008,1.008,1.008,1.088,GEO
Germany,2019,1.008,0.965,0.947,1.038,DEU
Ghana,2019,1.014,1.008,0.999,0.825,GHA
Greece,2019,1.005,0.976,0.949,1.051,GRC
Guatemala,2019,0.978,0.972,0.961,1.13,GTM
Guinea,2019,0.839,0.805,0.718,0.404,GIN
"Hong Kong SAR, China",2019,1.049,1.014,0.977,1.09,HKG
Hungary,2019,0.987,0.993,0.997,1.197,HUN
Iceland,2019,1.004,0.988,0.971,1.495,ISL
India,2019,1.019,1.02,1.019,1.079,IND
Ireland,2019,0.999,1.04,1.095,1.134,IRL
Israel,2019,1.012,1.014,1.017,1.322,ISR
Italy,2019,0.981,0.983,0.985,1.275,ITA
Japan,2019,1.003,1.003,1.004,0.979,JPN
Jordan,2019,0.983,1.0,1.025,1.266,JOR
Kazakhstan,2019,1.018,1.013,1.01,1.177,KAZ
"Korea, Rep.",2019,0.999,0.996,0.994,0.824,
Kyrgyz Republic,2019,0.988,0.994,0.998,1.198,KGZ
Lao PDR,2019,0.966,0.951,0.936,1.131,LAO
Latvia,2019,1.0,1.0,0.999,1.28,LVA
Liechtenstein,2019,1.0,0.913,0.859,0.567,LIE
Lithuania,2019,0.996,0.977,0.967,1.264,LTU
Luxembourg,2019,0.987,0.993,0.997,1.123,LUX
"Macao SAR, China",2019,0.98,0.988,0.999,1.161,MAC
Madagascar,2019,1.017,1.019,1.038,0.984,MDG
Malaysia,2019,1.009,1.04,1.078,1.223,MYS
Maldives,2019,1.026,0.992,0.93,1.441,MDV
Malta,2019,1.008,1.005,1.002,1.315,MLT
Marshall Islands,2019,0.964,1.013,1.077,1.108,MHL
Mauritania,2019,1.064,1.06,1.053,0.556,MRT
Mauritius,2019,1.026,1.025,1.024,1.281,MUS
Mexico,2019,1.009,1.052,1.096,1.058,MEX
Moldova,2019,0.953,0.973,0.985,1.243,MDA
Mongolia,2019,0.979,0.993,1.008,1.335,MNG
Montenegro,2019,1.0,1.011,1.019,1.241,MNE
Morocco,2019,0.966,0.951,0.93,1.012,MAR
Mozambique,2019,0.934,0.937,0.973,0.853,MOZ
Nepal,2019,1.019,1.046,1.073,1.063,NPL
New Zealand,2019,1.002,1.033,1.055,1.353,NZL
North Macedonia,2019,1.008,0.991,0.979,1.28,MKD
Norway,2019,1.0,0.976,0.951,1.328,NOR
Oman,2019,1.093,0.983,0.915,1.366,OMN
Pakistan,2019,0.881,0.877,0.868,0.958,PAK
Philippines,2019,0.97,1.025,1.085,1.231,PHL
Poland,2019,0.987,0.979,0.971,1.349,POL
Portugal,2019,0.979,0.993,1.005,1.167,PRT
Romania,2019,0.99,0.998,1.003,1.205,ROU
Russian Federation,2019,0.99,0.98,0.973,1.153,RUS
Rwanda,2019,0.98,1.01,1.132,0.821,RWA
San Marino,2019,1.079,1.005,0.936,0.802,SMR
Saudi Arabia,2019,1.015,0.96,0.905,1.114,SAU
Senegal,2019,1.142,1.137,1.132,0.756,SEN
Serbia,2019,0.999,1.007,1.011,1.28,SRB
Seychelles,2019,1.049,1.055,1.065,1.609,SYC
Singapore,2019,1.0,0.997,0.992,1.119,SGP
Slovak Republic,2019,0.995,1.007,1.013,1.337,SVK
Slovenia,2019,0.998,1.009,1.019,1.337,SVN
South Africa,2019,0.965,1.003,1.062,1.336,ZAF
Spain,2019,1.013,1.022,1.029,1.184,ESP
St. Lucia,2019,1.018,0.998,0.973,1.538,LCA
Sweden,2019,1.04,1.054,1.068,1.403,SWE
Switzerland,2019,0.995,0.969,0.946,1.066,CHE
Tanzania,2019,1.023,1.032,1.08,0.632,TZA
Thailand,2019,0.994,0.996,0.997,1.272,THA
Turkiye,2019,0.988,0.97,0.962,0.951,TUR
Turkmenistan,2019,0.982,0.982,0.982,0.842,TKM
United Kingdom,2019,0.998,1.011,1.022,1.263,GBR
United States,2019,1.007,0.995,0.983,1.278,USA
Uzbekistan,2019,0.988,0.992,0.995,0.736,UZB
West Bank and Gaza,2019,0.999,1.058,1.097,1.372,PSE