Rank,Country,ISO,Index_Score 
1,"Taiwan, Province of China",TWN,69
2,Austria,AUT,67
3,Finland,FIN,65
4,Latvia,LVA,65
5,Norway,NOR,65
6,Germany,DEU,65
7,Netherlands,NLD,64
8,Denmark,DNK,64
9,Australia,AUS,64
10,Switzerland,CHE,64
11,Estonia,EST,64
12,United Kingdom,GBR,63
13,Iceland,ISL,63
14,New Zealand,NZL,62
15,Sweden,SWE,62
16,Portugal,PRT,62
17,Mauritius,MUS,62
18,Israel,ISR,62
19,Czech Republic,CZE,62
20,Ireland,IRL,62
21,South Korea,KOR,62
22,Saudi Arabia,SAU,61
23,France,FRA,61
24,Japan,JPN,61
25,Belgium,BEL,61
26,United States,USA,61
27,Vietnam,VNM,60
28,Hungary,HUN,60
29,China,CHN,60
30,Slovenia,SVN,60
31,Malta,MLT,60
32,"Hong Kong, S.A.R of China",HKG,60
33,United Arab Emirates,ARE,60
34,Slovakia,SVK,59
35,Croatia,HRV,58
36,Italy,ITA,58
37,Kazakhstan,KAZ,58
38,Spain,ESP,58
39,Uruguay,URY,58
40,Lithuania,LTU,57
41,Serbia,SRB,57
42,Jamaica,JAM,57
43,Canada,CAN,57
44,Romania,ROU,57
45,Bulgaria,BGR,57
46,Thailand,THA,56
47,Malaysia,MYS,56
48,Cyprus,CYP,56
49,Mongolia,MNG,55
50,South Africa,ZAF,55
51,Kosovo,XKX,55
52,Poland,POL,55
53,India,IND,55
54,Ethiopia,ETH,54
55,Moldova,MDA,54
56,Tanzania,TZA,53
57,Greece,GRC,53
58,Russia,RUS,53
59,Chile,CHL,52
60,Montenegro,MNE,52
61,Bangladesh,BGD,52
62,Paraguay,PRY,52
63,Cambodia,KHM,52
64,Uzbekistan,UZB,51
65,Argentina,ARG,51
66,Sri Lanka,LKA,51
67,Kyrgyzstan,KGZ,51
68,Zambia,ZMB,51
69,Bosnia and Herzegovina,BIH,51
70,Indonesia,IDN,51
71,Costa Rica,CRI,50
72,Algeria,DZA,49
73,Laos,LAO,49
74,Kenya,KEN,49
75,North Macedonia,MKD,49
76,Ghana,GHA,49
77,Myanmar,MMR,48
78,Nicaragua,NIC,48
79,Namibia,NAM,48
80,Tajikistan,TJK,48
81,Ukraine,UKR,48
82,Albania,ALB,48
83,Morocco,MAR,48
84,Nepal,NPL,48
85,Egypt,EGY,47
86,Philippines,PHL,47
87,Mexico,MEX,47
88,Georgia,GEO,46
89,Benin,BEN,46
90,Pakistan,PAK,46
91,Iran,IRN,45
92,Senegal,SEN,45
93,Dominican Republic,DOM,45
94,Ivory Coast,CIV,45
95,Colombia,COL,44
96,El Salvador,SLV,44
97,Brazil,BRA,44
98,Cameroon,CMR,44
99,Turkey,TUR,44
100,Burkina Faso,BFA,43
101,Zimbabwe,ZWE,43
102,Nigeria,NGA,43
103,Uganda,UGA,42
104,Guinea,GIN,42
105,Mali,MLI,42
106,Bolivia,BOL,42
107,Tunisia,TUN,42
108,Lebanon,LBN,41
109,Ecuador,ECU,40
110,Republic of Congo,COG,38
111,Gabon,GAB,38
112,Iraq,IRQ,37
113,Venezuela,VEN,37
114,Peru,PER,36
115,Jordan,JOR,0
116,Bahrain,BHR,0